Date,Bern-Mittelland,Biel/Bienne,Emmental,Frutigen-Niedersimmental,Interlaken-Oberhasli,Jura bernois,Oberaargau,Obersimmental-Saanen,Seeland,Thun,Total
2020-02-27,0,1,0,0,0,0,0,0,0,0,1
2020-02-28,0,1,0,0,0,0,0,0,0,0,1
2020-02-29,0,2,0,0,0,0,0,0,0,0,2
2020-03-01,0,2,0,0,0,0,0,0,0,0,2
2020-03-02,1,3,0,0,2,0,0,0,0,0,6
2020-03-03,2,5,0,0,2,0,0,0,0,0,9
2020-03-04,4,8,0,0,2,2,0,1,0,0,17
2020-03-05,6,9,0,0,2,2,0,2,0,1,22
2020-03-06,8,15,0,0,2,2,0,2,1,1,31
2020-03-07,8,15,0,0,2,2,0,2,1,1,31
2020-03-08,9,17,0,0,2,2,0,2,1,1,34
2020-03-09,10,17,0,1,2,2,0,2,1,2,37
2020-03-10,13,18,0,2,2,2,1,2,1,3,44
2020-03-11,22,21,1,2,2,3,1,3,1,4,60
2020-03-12,32,26,2,2,2,4,2,5,3,6,84
2020-03-13,38,26,2,2,2,5,3,5,5,6,94
2020-03-14,46,31,2,2,2,6,3,5,7,8,112
2020-03-15,56,34,3,2,2,8,4,6,9,8,132
2020-03-16,96,42,6,4,3,12,5,8,10,10,196
2020-03-17,119,49,6,6,5,19,5,12,18,11,250
2020-03-18,139,61,10,6,7,25,16,12,21,13,310
2020-03-19,156,67,13,7,8,34,18,13,26,17,359
2020-03-20,178,76,20,9,8,40,21,17,30,21,420
2020-03-21,199,81,22,12,8,42,26,18,32,22,462
2020-03-22,217,86,24,14,8,45,26,19,35,23,497
2020-03-23,241,94,27,15,13,52,28,23,44,26,563
2020-03-24,262,103,32,18,13,58,30,23,46,31,616
2020-03-25,277,112,37,19,17,65,32,24,53,38,674
2020-03-26,297,121,39,21,18,69,34,27,58,43,727
2020-03-27,327,129,46,26,22,82,34,29,62,48,805
2020-03-28,336,131,49,27,23,86,34,30,65,48,829
2020-03-29,342,132,50,30,24,92,35,30,66,48,849
2020-03-30,366,138,53,31,24,114,40,31,68,55,920
2020-03-31,392,146,56,34,29,128,42,31,76,58,992
2020-04-01,413,150,57,38,33,140,43,33,80,61,1048
2020-04-02,428,156,61,38,37,144,44,36,83,62,1089
2020-04-03,451,159,63,40,41,157,49,37,87,65,1149
2020-04-04,460,162,64,41,43,174,49,37,90,67,1187
2020-04-05,464,165,65,41,45,174,51,37,90,69,1201
2020-04-06,493,176,68,42,48,182,52,40,96,73,1270
2020-04-07,519,180,68,44,53,186,53,41,98,78,1320
2020-04-08,549,184,70,45,53,200,53,42,101,81,1378
2020-04-09,563,185,70,45,53,201,54,42,102,82,1397
2020-04-10,572,186,70,47,55,201,55,43,103,82,1414
2020-04-11,583,186,70,47,55,202,58,44,103,83,1431
2020-04-12,588,186,71,47,55,203,61,44,104,83,1442
2020-04-13,603,186,71,48,55,203,61,44,105,83,1459
2020-04-14,623,187,72,50,56,205,62,47,107,86,1495
2020-04-15,641,189,72,51,56,210,64,48,107,87,1525
2020-04-16,655,190,72,51,56,212,67,48,108,87,1546
2020-04-17,665,191,73,51,56,212,70,48,110,87,1563
2020-04-18,667,191,73,51,56,213,72,48,110,88,1569
2020-04-19,670,191,74,51,56,213,77,48,110,89,1579
2020-04-20,693,191,78,51,57,214,80,48,111,89,1612
2020-04-21,703,192,82,51,57,214,80,49,113,90,1631
2020-04-22,709,192,82,51,57,215,83,49,113,90,1641
2020-04-23,722,193,84,51,57,215,86,49,115,90,1662
2020-04-24,726,193,86,51,57,216,88,49,115,91,1672
2020-04-25,728,193,86,51,57,216,90,49,115,91,1676
2020-04-26,729,193,89,51,57,216,94,49,115,92,1685
2020-04-27,736,194,89,51,57,216,98,50,115,93,1699
2020-04-28,743,194,90,51,58,217,100,50,115,93,1711
2020-04-29,751,194,90,51,58,217,104,51,115,93,1724
2020-04-30,756,194,94,51,59,217,104,51,115,93,1734
2020-05-01,759,195,96,51,59,218,104,52,117,93,1744
2020-05-02,760,195,97,51,59,220,105,52,118,93,1750
2020-05-03,762,195,97,51,59,220,105,52,118,93,1752
2020-05-04,765,195,97,51,60,220,106,52,119,93,1758
2020-05-05,768,195,98,51,60,220,106,52,119,93,1762
2020-05-06,773,195,99,51,60,220,106,52,119,94,1769
2020-05-07,777,195,99,51,60,220,106,52,120,94,1774
2020-05-08,780,195,99,53,60,220,106,52,120,95,1780
2020-05-09,784,195,99,54,60,220,106,52,120,95,1785
2020-05-10,784,195,99,54,60,220,107,52,121,95,1787
2020-05-11,785,195,99,54,60,220,108,52,121,95,1789
2020-05-12,785,196,100,54,60,220,108,53,121,95,1792
2020-05-13,788,196,100,54,60,221,108,53,121,96,1797
2020-05-14,791,196,101,54,61,221,108,53,122,96,1803
2020-05-15,793,196,101,54,61,221,108,53,123,96,1806
2020-05-16,793,196,101,54,61,221,108,53,123,96,1806
2020-05-17,793,196,101,54,61,221,108,53,123,96,1806
2020-05-18,794,197,102,54,61,221,108,53,123,96,1809
2020-05-19,795,198,102,55,61,222,108,53,123,96,1813
2020-05-20,798,198,102,55,61,222,108,53,123,96,1816
2020-05-21,800,198,102,55,61,222,108,53,124,96,1819
2020-05-22,801,198,102,55,61,222,108,53,124,98,1822
2020-05-23,801,198,102,55,61,222,108,53,124,98,1822
2020-05-24,802,198,102,55,61,222,108,53,124,98,1823
2020-05-25,803,198,102,55,61,222,108,53,124,98,1824
2020-05-26,803,198,102,55,61,222,108,53,124,98,1824
2020-05-27,803,198,102,55,62,222,108,53,124,99,1826
2020-05-28,805,198,102,55,62,222,108,53,124,99,1828
2020-05-29,806,199,102,55,62,222,108,53,124,99,1830
2020-05-30,806,199,102,55,62,222,108,53,124,99,1830
2020-05-31,808,199,102,55,62,222,108,53,124,99,1832
2020-06-01,808,199,102,55,62,222,108,53,124,99,1832
2020-06-02,809,199,102,56,62,222,108,53,124,99,1834
2020-06-03,809,200,102,56,62,222,108,53,124,99,1835
2020-06-04,810,201,102,56,62,222,108,54,124,99,1838
2020-06-05,810,201,102,56,62,222,108,54,124,99,1838
2020-06-06,810,201,102,56,62,222,108,54,124,99,1838
2020-06-07,810,201,103,56,62,222,108,54,124,99,1839
2020-06-08,810,202,107,56,62,222,108,54,124,99,1844
2020-06-09,810,202,107,56,62,222,108,54,124,99,1844
2020-06-10,810,204,109,56,62,222,108,54,125,100,1850
2020-06-11,812,204,109,56,62,222,108,54,125,100,1852
2020-06-12,812,204,109,56,62,223,108,54,125,100,1853
2020-06-13,812,205,109,56,62,223,108,54,125,100,1854
2020-06-14,812,205,109,56,62,223,108,54,125,100,1854
2020-06-15,813,205,109,56,62,223,108,54,125,101,1856
2020-06-16,813,205,110,56,62,223,108,54,125,101,1857
2020-06-17,813,205,110,56,62,223,108,54,125,101,1857
2020-06-18,813,205,110,56,62,223,108,54,125,101,1857
2020-06-19,814,205,110,56,62,223,108,54,125,101,1858
2020-06-20,816,205,110,56,63,223,108,54,126,101,1862
2020-06-21,816,205,110,56,65,223,108,54,126,101,1864
2020-06-22,819,205,110,56,65,223,108,54,126,101,1867
2020-06-23,822,205,110,56,65,223,108,54,126,101,1870
2020-06-24,822,205,110,56,65,223,108,54,126,101,1870
2020-06-25,822,205,110,56,65,223,108,54,126,101,1870
2020-06-26,825,205,110,56,65,223,108,54,128,101,1875
