Date,Bern-Mittelland,Biel/Bienne,Emmental,Frutigen-Niedersimmental,Interlaken-Oberhasli,Jura bernois,Oberaargau,Obersimmental-Saanen,Seeland,Thun,Total
2020-02-27,0,0,0,0,0,0,0,0,1,0,1
2020-02-28,0,0,0,0,0,0,0,0,1,0,1
2020-02-29,0,0,0,0,0,0,0,0,1,0,1
2020-03-01,0,1,0,0,0,0,0,0,1,0,2
2020-03-02,0,1,0,0,0,0,0,0,1,0,2
2020-03-03,0,1,0,0,0,0,0,0,1,0,2
2020-03-04,0,1,0,0,0,0,0,0,1,0,2
2020-03-05,0,1,0,0,0,0,0,0,1,0,2
2020-03-06,0,1,0,0,0,0,0,0,1,0,2
2020-03-07,0,1,0,0,0,0,0,0,1,0,2
2020-03-08,0,1,0,0,0,0,0,0,1,0,2
2020-03-09,0,1,0,0,0,0,0,0,1,0,2
2020-03-10,0,1,0,0,0,0,0,0,1,0,2
2020-03-11,0,1,0,0,0,0,0,0,1,0,2
2020-03-12,0,1,0,0,0,0,0,0,1,0,2
2020-03-13,0,1,0,0,0,0,0,0,1,0,2
2020-03-14,0,1,0,0,0,0,0,0,1,0,2
2020-03-15,0,1,0,0,0,0,0,0,1,0,2
2020-03-16,1,1,0,0,0,0,0,0,1,0,3
2020-03-17,2,1,0,0,0,0,0,0,1,0,4
2020-03-18,2,1,0,0,0,0,1,0,1,0,5
2020-03-19,2,1,0,0,0,0,1,0,1,0,5
2020-03-20,2,1,0,0,0,0,1,0,1,0,5
2020-03-21,2,1,0,0,0,0,1,1,1,0,6
2020-03-22,2,1,0,0,0,0,1,1,1,0,6
2020-03-23,2,1,0,0,0,1,1,1,1,0,7
2020-03-24,2,1,0,0,0,2,1,1,1,0,8
2020-03-25,2,1,0,0,0,2,2,1,1,0,9
2020-03-26,2,1,0,0,0,2,2,1,1,0,9
2020-03-27,2,1,0,0,0,2,2,1,1,0,9
2020-03-28,2,1,0,0,0,2,2,1,1,0,9
2020-03-29,2,1,0,0,0,2,2,1,1,0,9
2020-03-30,2,1,0,0,0,2,2,1,1,0,9
2020-03-31,2,1,0,0,0,2,2,1,1,0,9
2020-04-01,2,1,0,0,0,2,2,1,1,0,9
2020-04-02,2,1,0,0,0,2,2,1,1,0,9
2020-04-03,2,1,0,0,0,2,2,1,1,0,9
2020-04-04,2,1,0,0,0,2,2,1,1,0,9
2020-04-05,2,1,0,0,0,2,2,1,1,0,9
2020-04-06,2,1,0,0,0,3,2,1,1,0,10
2020-04-07,2,1,0,0,0,3,2,1,1,0,10
2020-04-08,2,1,0,0,0,3,2,1,1,0,10
2020-04-09,2,1,0,0,0,3,2,1,1,0,10
2020-04-10,2,1,0,0,0,3,3,1,1,0,11
2020-04-11,2,1,0,0,0,3,3,1,1,0,11
2020-04-12,2,1,0,0,0,3,3,1,1,0,11
2020-04-13,2,1,0,0,0,3,3,1,1,0,11
2020-04-14,2,1,0,0,0,3,3,1,1,0,11
